RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
22,Carmelo Anthony,Okc,SF,33,6,32.3,67.3,18.7,0.071,15,0.733,44,0.477,28,0.214,0.417,0.452,11.8,5.7,9.7,0.3,1.5,1.67,0.67,1,3.4,89.6,103.2
23,Cedi Osman,Cle,SF,22,14,4.4,9.2,14.3,0,4,0.25,11,0.455,7,0.143,0.361,0.354,1,0.5,6.4,0.2,6.7,0.21,0,0,4.2,72.5,104.6
24,Cheick Diallo,Nor,PF,21,7,6.9,14.4,11.6,0.077,0,0,12,0.417,0,0,0.417,0.417,1.4,1.3,10,0,0,0.14,0.14,0.14,0,90.5,94
25,Chinanu Onuaku,Hou,PF,21,1,3.2,6.7,0,,0,0,0,0,0,0,,,0,1,17.6,1,39.1,1,0,0,0,,
26,Chris Paul,Hou,PG,32,15,34.5,71.8,26.4,0.091,53,0.83,158,0.513,99,0.374,0.531,0.565,21.1,5.9,9.7,5.8,29.5,2,0.27,1.87,10.4,106.8,99.4
27,CJ McCollum,Por,SG,26,4,38.9,81,25.9,0.098,13,0.769,51,0.569,26,0.423,0.591,0.61,25.3,2,2.8,3.5,16.1,1.25,0.25,2.25,5.8,117.9,114.2
28,CJ Miles,Tor,SF,30,10,22.7,47.3,16.9,0.103,16,0.813,26,0.5,45,0.422,0.585,0.615,9.6,2.4,6,0.8,5,0.7,0.3,0.9,4.7,111.5,110.6
29,Clint Capela,Hou,C,23,17,30.6,63.7,15.6,0.082,55,0.473,144,0.66,0,0,0.66,0.642,12.7,11.6,21.3,1.3,6.9,0.82,2.12,0.88,7.5,126.3,100.7
30,Corey Brewer,Okc,SF,31,6,25.2,52.5,8.4,0.067,6,1,14,0.571,11,0.455,0.62,0.669,6.2,2.2,4.7,0.8,4.5,1.17,0.83,0.33,3.5,135,102.1
31,Cory Joseph,Ind,SG,26,7,20.5,42.6,12.4,0.101,6,1,22,0.409,11,0.273,0.409,0.463,4.7,2.4,6.7,3,19.3,1.29,0.29,0.57,6.3,107.9,99.9
32,Dakari Johnson,Okc,C,22,2,1.7,3.4,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
33,Damian Jones,Gol,C,22,4,2.7,5.7,25.6,0.475,3,0.667,2,0.5,0,0,0.5,0.602,1,0.8,15.3,0,0,0,0,0.75,0,,
34,Damian Lillard,Por,PG,27,4,40.6,84.6,25.5,0.169,17,0.882,41,0.39,30,0.3,0.415,0.471,18.5,4.5,6,4.8,17.6,1.25,0,4,7.3,92.8,115.9
35,Danny Green,San,SG,30,5,20.6,42.9,13.9,0.063,0,0,10,0.3,20,0.25,0.35,0.35,4.2,2.2,5.9,0.2,1.3,0.2,0.8,0.4,2.4,75.4,110.6
36,Dante Exum,Uta,PG,22,10,11.4,23.7,24.2,0.245,12,0.75,34,0.529,7,0.286,0.512,0.551,5.1,1.4,6.9,1,14.2,0.1,0.1,1.5,6.8,86.7,98.9
37,Dario Saric,Phi,PF,23,10,32.9,68.4,22.5,0.086,40,0.85,89,0.438,52,0.385,0.489,0.542,17.2,7.4,12.1,3.5,16.1,1,0.4,1.5,9.3,112.1,101.4
38,Darius Miller,Nor,SF,27,9,18,37.6,11.4,0.141,6,1,10,0.5,24,0.375,0.544,0.587,4.8,2.2,6.6,1.2,8.5,0.56,0,0.67,5.2,105.3,106.3
39,Darren Collison,Ind,PG,30,7,30.6,63.7,17.2,0.109,12,0.75,45,0.511,23,0.348,0.515,0.539,11.3,3,5.6,4.7,22.1,1,0,1.29,7.1,111.3,107
40,David Stockton,Uta,G,26,2,2.9,6,23.2,0,0,0,2,0.5,1,0,0.333,0.333,1,0.5,9.7,0,0,0,0,0,0,,
41,David West,Gol,PF,37,18,9.7,20.2,14.3,0.176,4,1,43,0.605,2,0.5,0.611,0.631,3.3,2.1,11.8,1.8,25.2,0.33,0.56,0.56,9.6,114.1,92.9
42,Davis Bertans,San,PF,25,5,16.5,34.4,12.9,0.042,11,0.727,2,0,16,0.188,0.25,0.372,3.4,2.2,7.4,1.2,9.4,0.4,0,0.2,5,89.1,103.3
43,DeAndre Liggins,Nor,SG,29,3,4.5,9.4,12.3,0.515,2,0.5,1,0,0,0,0,0.266,0.3,0.3,4,0,0,0,0,0.67,0,25.1,115.6
44,Dejounte Murray,San,PG,21,5,19.2,40,18.6,0.125,9,0.778,25,0.4,6,0.667,0.516,0.558,7.8,4.2,12.2,1.8,14.2,1,0.4,1,8.1,108.5,100.6
45,Delon Wright,Tor,PG,25,10,21.5,44.8,17.2,0.107,16,0.938,47,0.468,21,0.429,0.522,0.573,8.6,2.2,5.8,2.3,15.2,1.5,0.9,0.9,6.5,111.5,112.9
46,DeMar DeRozan,Tor,SG,28,10,35.4,73.8,30.5,0.094,53,0.811,164,0.47,35,0.286,0.462,0.511,22.7,3.6,5.7,4,18.8,0.5,0.6,2.3,7.8,100,114.4
47,Derrick Favors,Uta,PF,26,11,26,54.2,14.5,0.108,33,0.485,63,0.635,5,0.4,0.632,0.618,9.3,5.2,11.2,1.2,7,0.73,1,0.91,6,117.1,104.5
48,Derrick Rose,Min,PG,29,5,23.8,49.5,25.4,0.118,7,0.857,47,0.468,10,0.7,0.57,0.591,14.2,1.8,4.4,2.6,18.2,0.4,0,1.6,6.8,108.5,112.8
49,Derrick White,San,PG,23,3,6.1,12.6,14.8,0,0,0,4,0.5,2,0.5,0.583,0.583,2.3,0,0,0.3,8.6,0.33,0.67,0,0,119.4,118.8
50,Domantas Sabonis,Ind,PF,21,7,23.7,49.5,20.7,0.091,18,0.778,55,0.636,7,0.143,0.589,0.622,12.4,4.6,10.9,0.7,4.8,0.14,0.29,1,5.8,120.9,95.9
51,Donovan Mitchell,Uta,SG,21,11,37.4,77.9,32.1,0.109,43,0.907,163,0.472,80,0.313,0.471,0.512,24.4,5.9,8.9,4.2,20.5,1.45,0.36,2.91,9,96,100.8
52,Draymond Green,Gol,PF,27,21,39,81.2,14.9,0.228,49,0.796,113,0.549,79,0.266,0.487,0.529,10.8,10.6,15.1,8.1,26.8,1.86,1.48,3,10,97.3,94.4
53,Dwyane Wade,Mia,SG,36,5,25.5,53.1,32.5,0.119,26,0.808,66,0.47,4,0,0.443,0.51,16.6,4.2,9.2,3.6,25.5,1.4,0.2,2.2,9.9,100.5,108.4
54,Ed Davis,Por,PF,28,4,17.7,36.9,9.8,0.254,4,0.25,10,0.5,0,0,0.5,0.468,2.8,8,24.6,0,0,0,0.25,1,0,83.1,106.7
55,Ekpe Udoh,Uta,PF,30,6,3.5,7.2,8.1,0.266,4,0,1,1,0,0,1,0.362,0.3,0.5,8.1,0,0,0,0.33,0.17,0,,
56,Emeka Okafor,Nor,C,35,1,3.6,7.5,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,Eric Bledsoe,Mil,PG,28,7,32.1,66.9,21.8,0.139,20,0.7,62,0.484,22,0.318,0.482,0.512,13.6,3.4,6.3,3.7,17.6,1,0.86,2.14,6.9,97.1,105.8
58,Eric Gordon,Hou,SG,29,17,32.3,67.3,21.9,0.088,61,0.836,91,0.451,130,0.331,0.477,0.529,15.4,2.6,4.6,1.6,7.9,0.59,0.47,1.41,5,94.6,108.6
59,Ersan Ilyasova,Phi,PG,30,10,23.3,48.6,18.9,0.097,21,0.571,53,0.509,31,0.29,0.482,0.499,9.3,7.6,17.5,1.3,8.1,0.7,0.5,1,7.7,102,96.7
60,E'Twaun Moore,Nor,SG,28,9,31.6,65.8,16.1,0.104,16,0.688,63,0.508,25,0.36,0.517,0.537,11.3,2.4,4.2,1.7,7.2,0.67,0.11,1.22,4.5,98.2,107.3
61,Evan Turner,Por,SG,29,3,28.9,60.1,20.2,0.15,2,1,26,0.385,7,0.286,0.394,0.413,9.3,4,7.6,3.3,17,1,0.33,2,6.9,90.3,111
62,Fred VanVleet,Tor,PG,23,6,19.1,39.7,17.9,0.086,8,0.875,11,0.455,28,0.286,0.436,0.482,6.8,1.7,4.9,2.2,15.5,0,0,0.67,6.2,99.2,115
63,Furkan Korkmaz,Phi,SG,20,1,1.6,3.3,26.6,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,,
